CollectionCode(year location date),LocationCode,year,eventDate,timeStart,timeEnd,totalbeesobserved,totalbeespeciesobserved,numberVolunteers,totalMinutes,totalHours,effortMinutes,beespervolunteerperminute,beespervolunteerperhour,TempC,TempF,WindMaxMph,identifiedBy,EstCloudCover,Color (if mark recapture),SitePlantInfo
2022RitterJuly7,Ritter,2022,7/7/2022,10:30,12:00,22,3,22,90,1.5,1980,0.011111111,0.666666667,27.7778,82,10,Elaine Evans and Sarah Foltz-Jordan,overcast,NA-holding pen,
2022SpringLakeJuly7,SpringLake,2022,7/7/2022,13:00,14:00,4,2,4,90,1.5,360,0.011111111,0.666666667,29.44444444,85,10,Elaine Evans and Sarah Foltz-Jordan,clear,NA,
2022RitterAugust9,Ritter,2022,8/9/2022,13:30,14:30,123,8,12,90,1.5,1080,0.113888889,6.833333333,26.66666667,80,5,Elaine Evans and Sarah Foltz-Jordan,clear,,
2022SpringLakeAugust9,SpringLake,2022,8/9/2022,10:30,12:45,49,7,8,140,2.333333333,1120,0.04375,2.625,26.66666667,80,5,Elaine Evans and Sarah Foltz-Jordan,clear,,
2022RitterAugust25,Ritter,2022,8/25/2022,10:15,11:45,62,3,35,90,1.5,3150,0.01968254,1.180952381,17.77777778,64,5,Willow Lovecky and Sami Dolan,overcast,,
2022SpringLakeAugust25,SpringLake,2022,8/25/2022,13:00,14:30,79,7,11,90,1.5,990,0.07979798,4.787878788,21.66666667,71,5,Willow Lovecky and Sami Dolan,overcast,,
2022SpringLakeSeptember12,SpringLake,2022,9/12/2022,12:30,14:30,84,6,1.5,120,2,180,0.466666667,28,22.22222222,72,5,Elaine Evans,clear,,
2023RitterJuly7,Ritter,2023,7/7/2023,10:20,12:00,65,6,8,100,1.666666667,800,0.08125,4.875,20,68,4,"Elaine Evans, Clara Costello, Elise Bernstein",hazy,,
2023SpringLakeJuly7,SpringLake,2023,7/7/2023,13:30,15:00,111,5,12,90,1.5,1080,0.102777778,6.166666667,21.66666667,71,7,"Elaine Evans, Clara Costello, Elise Bernstein",hazy,,
2023RitterAugust4,Ritter,2023,8/4/2023,13:30,14:30,185,7,15,90,1.5,1350,0.137037037,8.222222222,32.22222222,90,2,"Elaine Evans, Clara Costello, Elise Bernstein",partly cloudy,,
2023SpringLakeAugust4,SpringLake,2023,8/4/2023,10:30,11:30,81,8,8,90,1.5,720,0.1125,6.75,25.55555556,78,0,"Elaine Evans, Clara Costello, Elise Bernstein",partly cloudy,,
2023RitterAugust17,Ritter,2023,8/17/2023,10:30,11:30,134,6,25,90,1.5,2250,0.059555556,3.573333333,18.88888889,66,8,"Elaine Evans, Clara Costello, Elise Bernstein",partly cloudy,,
2023SpringLakeAugust17,SpringLake,2023,8/17/2023,13:30,14:30,70,6,10,90,1.5,900,0.077777778,4.666666667,21.66666667,71,6,"Elaine Evans, Clara Costello, Elise Bernstein",partly cloudy,,
2024RitterJuly12,Ritter,2024,7/12/2024,13:30,14:30,21,6,24,60,1,1440,0.014583333,0.875,28.5,83.3,1.9,Elaine Evans,partly cloudy,,
2024RitterAugust9,Ritter,2024,8/9/2024,1:30,2:40,222,8,22,60,1,1320,0.168181818,10.09090909,21.7,71.1,0.3,Elaine Evans,mostly cloudy,Green and Purple,
2025RitterJuly11,Ritter,2025,7/11/2025,10:30,11:40,171,6,24,70,1.166666667,1680,0.101785714,6.107142857,21.66666667,71,N/A,"Elaine Evans, Clara Costello, Elise Bernstein",overcast,"Green, Pink, White",
2025RitterJuly25,Ritter,2025,7/25/2025,10:00,11:10,274,7,36,70,1.166666667,2520,0.108730159,6.523809524,24.44444444,76,N/A,"Elaine Evans, Clara Costello, Elise Bernstein",hazy,,
2025RitterAugust15,Ritter,2025,8/15/2025,10:29,11:45,315,9,37,76,1.266666667,2812,0.112019915,6.721194879,25,77,N/A,"Sami Dolan, Elaine Evans, Elise Berstein",clear,,

