collectioncode,LocationCode,Date,timestart,timeend,Number volunteers,total minutes,effort,Temp,WindMaxmph,BumbleBeeIDer,EstCloudCover,Color (if mark recapture),SitePlantInfo
2020ExampleAugust19,Como,7/11/2015,14:00,15:30,6,90,540,80,5,Elaine Evans,partly cloudy,,
2022RitterJuly7,Ritter,7/7/2022,10:30,12:00,22,90,1980,82,10,Elaine Evans and Sarah Foltz-Jordan,overcast,NA-holding pen,
2022SpringLakeJuly7,SpringLake,7/7/2022,13:00,14:00,4,90,360,85,10,Elaine Evans and Sarah Foltz-Jordan,clear,NA,
2022RitterAugust9,Ritter,8/9/2022,13:30,14:30,12,90,1080,80,5,Elaine Evans and Sarah Foltz-Jordan,clear,,
2022SpringLakeAugust9,SpringLake,8/9/2022,10:30,12:45,8,140,1120,80,5,Elaine Evans and Sarah Foltz-Jordan,clear,,
2022RitterAugust25,Ritter,8/25/2022,10:15,11:45,35,90,3150,64,5,Willow Lovecky and Chan Dolan,overcast,,
2022SpringLakeAugust25,SpringLake,8/25/2022,13:00,14:30,11,90,990,71,5,Willow Lovecky and Chan Dolan,overcast,,
2022SpringLakeSeptember12,SpringLake,9/12/2022,12:30,14:30,1.5,120,180,72,5,Elaine Evans,clear,,
2023RitterJuly7,Ritter,7/7/2023,10:20,12:00,8,100,800,68,4,"Elaine Evans, Clara Costello, Elise Bernstein",hazy,,
2023SpringLakeJuly7,SpringLake,7/7/2023,13:30,15:00,12,90,1080,71,7,"Elaine Evans, Clara Costello, Elise Bernstein",hazy,,
2023RitterAugust4,Ritter,8/4/2023,13:30,14:30,15,90,1350,90,2,"Elaine Evans, Clara Costello, Elise Bernstein",partly cloudy,,
2023SpringLakeAugust4,SpringLake,8/4/2023,10:30,11:30,8,90,720,78,0,"Elaine Evans, Clara Costello, Elise Bernstein",partly cloudy,,
2023RitterAugust17,Ritter,8/17/2023,10:30,11:30,25,90,2250,66,8,"Elaine Evans, Clara Costello, Elise Bernstein",partly cloudy,,
2023SpringLakeAugust17,SpringLake,8/17/2023,13:30,14:30,10,90,900,71,6,"Elaine Evans, Clara Costello, Elise Bernstein",partly cloudy,,
