dummy,collectioncode,collectiontime,year,site,totalbeesobserved,totalbeespeciesobserved,totalvolunteers,totalhours,volunteerhours,beespervolunteerhour
1,2022RitterAugust25,Late August,2022,Ritter Farm Park,62,3,35,1.5,52.5,1.180952381
2,2022RitterAugust9,Early August,2022,Ritter Farm Park,123,8,12,1,12,10.25
3,2022RitterJuly7,Early July,2022,Ritter Farm Park,22,3,22,1.5,33,0.666666667
4,2023RitterAugust17,Late August,2023,Ritter Farm Park,134,6,25,1,25,5.36
5,2023RitterAugust4,Early August,2023,Ritter Farm Park,185,7,15,1,15,12.33333333
6,2023RitterJuly7,Early July,2023,Ritter Farm Park,65,6,8,1.67,13.36,4.865269461
7,2022SpringLakeAugust25,Late August,2022,Spring Lake Park,79,7,11,1.5,16.5,4.787878788
8,2022SpringLakeAugust9,Early August,2022,Spring Lake Park,49,7,8,2.25,18,2.722222222
9,2022SpringLakeJuly7,Early July,2022,Spring Lake Park,4,2,4,1,4,1
10,2022SpringLakeSeptember12,Mid September,2022,Spring Lake Park,84,6,1.5,4,6,14
11,2023SpringLakeAugust17,Late August,2023,Spring Lake Park,70,6,10,1,10,7
12,2023SpringLakeAugust4,Early August,2023,Spring Lake Park,81,8,8,1,8,10.125
13,2023SpringLakeJuly7,Early July,2023,Spring Lake Park,111,5,12,1.5,18,6.166666667
14,2024RitterJuly12,Early July,2024,Ritter,22,6,24,1,24,0.916666667
15,2024RitterAugust9,Early August,2024,Ritter,222,0:00,22,1,24,9.25
